run	status	duration_s	finished_utc
1	PASS	16	2026-03-23T16:29:47Z
2	PASS	36	2026-03-23T16:30:23Z
3	PASS	10	2026-03-23T16:30:33Z
4	PASS	11	2026-03-23T16:30:44Z
5	PASS	33	2026-03-23T16:31:17Z
6	PASS	56	2026-03-23T16:32:13Z
7	PASS	40	2026-03-23T16:32:53Z
8	PASS	23	2026-03-23T16:33:16Z
9	PASS	17	2026-03-23T16:33:33Z
10	PASS	16	2026-03-23T16:33:49Z
